evaluation_date,vol_amount_26,total_balance,avg_amount_26,avg_amount_12,avg_week_amount_14,weighted_avg_day_26,avg_week_amount_20,vol_amount_13
738699,0.0,12.27,0.0,-202.276,-1960.105,0.0,-22.799999999999997,-1.3616821814433733
738511,0.0,138.02,0.0,-604.2983333333333,-604.095,0.0,-11.85,0.0
738477,0.0,843.95,0.0,-603.21,-1087.7350000000001,0.0,-101.205,0.0
738504,-1.243674264158382,570.31,-85.23333333333333,-1562.1657142857143,-2869.18,8.008603832616348,-120.195,-0.09455170610459421
738652,-0.46452313775169524,698.86,-189.57142857142858,-554.6316666666667,-708.3900000000001,6.273926149208741,-181.72,-0.4114593209638834
738456,0.0,-16.58,0.0,0.0,-1665.285,0.0,-5.35,-0.0
738630,0.0,3.93,0.0,-685.9085714285713,-125.48,0.0,-77.45,-0.2966853445143839
738529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
738478,0.0,217.09,0.0,0.0,-3654.0550000000003,0.0,-153.29,-1.5144811199017514
738462,-0.0,-2.27,-150.0,-28.385999999999996,-2449.71,14.0,-61.120000000000005,0.0
738510,0.0,1598.77,0.0,-400.37,-1195.12,0.0,-473.18500000000006,-1.2937775281018669
738534,0.0,197.91,0.0,-284.41285714285715,-610.26,0.0,-10.78,-0.13302496919525644
738504,0.0,12.14,0.0,-224.97666666666666,-2138.17,0.0,-7.72,0.0
738628,0.0,898.74,0.0,-62.495,-2966.35,0.0,-1210.11,0.0
738733,-0.8734187368148483,271.66,-307.4,-1073.735,-2389.35,2.5735198438516598,-190.685,0.0
738487,0.0,-59.08,0.0,0.0,-185.525,0.0,0.0,0.0
738729,0.0,10.63,0.0,-188.83333333333334,-183.115,0.0,0.0,0.0
738477,-0.6628822614098381,316.39,-276.53833333333336,112.88399999999999,-1703.17,0.11277821640158336,-411.5,-0.0
738567,0.0,54.78,0.0,-258.9633333333333,-1439.71,0.0,-178.70000000000002,0.0
738464,0.0,0.01,0.0,0.0,-902.9549999999999,0.0,0.0,-0.0
738660,0.0,100.03,0.0,-361.2114285714286,-639.04,0.0,-71.06,0.0
738557,0.0,914.14,0.0,-334.12142857142857,-2500.02,0.0,-706.72,0.0
738598,-0.848528137423857,15.74,-62.5,-352.3533333333333,-615.71,8.3,0.0,0.0
738526,0.0,203.25,0.0,-34.885000000000005,-1528.44,0.0,-85.65,-0.0
738720,-0.47511146875487315,80.4,-128.77833333333334,-375.52,-3384.6,0.12070482871083499,-921.85,-0.36095731380866425
738499,-0.4783271309276315,4.06,-32.5,-552.4383333333334,-397.86,1.0769230769230766,-206.99,-0.27335016649970945
738712,0.0,0.01,0.0,-392.29833333333335,-1159.22,0.0,-260.225,-0.13724172197709783
738638,0.0,893.22,0.0,-22.625,-1790.1,0.0,-58.95,0.0
738675,0.0,74.42,0.0,-68.686,-1281.2649999999999,0.0,-52.78,0.0
738462,-0.0,109.74,-78.9,-584.955,-352.58000000000004,9.5,-114.14,-0.41478129469114833
738587,0.0,298.05,0.0,-247.17200000000003,-2168.94,0.0,-645.47,0.0
